"Reef.Number","OldReefName","Year","Coral.Cover","Method","Lat","Long","Mean","CoverLower_estimate","CoverUpper_estimate","Range"
2442,"U/N Reef (20-200)",2014,4.315714,"Reefmod",NA,NA,51.0877148972942,38.3495280551289,65.6217438251349,27.272215770006
2443,"U/N Reef (20-201)",2014,5.577334,"Reefmod",NA,NA,50.4698042364004,37.4823310746569,66.7304533268687,29.2481222522118
2444,"U/N Reef (20-202)",2014,5.768998,"Reefmod",NA,NA,54.206938919637,38.291546475101,66.0591314756605,27.7675850005595
2445,"Defiance (Dalys) Island Reef (20-203)",2014,12.71751,"Reefmod",NA,NA,49.5867265608405,41.791034015772,58.9313674749401,17.1403334591681
2446,"Defiance Reefs (North) (20-204a)",2014,11.87936,"Reefmod",NA,NA,53.7741542446842,43.5324783476351,61.3611827346973,17.8287043870622
2447,"Anchorsmith Reef (20-241)",2014,15.5143,"Reefmod",NA,NA,52.1392634342906,40.0420146061749,59.9539357720978,19.9119211659228
2448,"Blackcombe Reef (20-242)",2014,17.18923,"Reefmod",NA,NA,55.3671424333574,46.4841421016845,63.0278900665906,16.5437479649061
2449,"Anvil Reef (20-243)",2014,11.69193,"Reefmod",NA,NA,54.6620262527621,44.9746982551034,63.7463020489425,18.771603793839
2450,"Carondelet Reef (20-244)",2014,10.96857,"Reefmod",NA,NA,52.1013478275136,44.0757360677525,60.3170904396664,16.2413543719139
2451,"Pentecost Reef (20-085)",2014,13.03711,"Reefmod",NA,NA,55.7397209374199,47.4425057325621,65.2972178002469,17.8547120676848
2452,"U/N Reef (20-123)",2014,15.33109,"Reefmod",NA,NA,60.1210228218997,44.9203906965843,69.9793224505745,25.0589317539901
2453,"U/N Reef (20-124)",2014,16.31017,"Reefmod",NA,NA,60.9918989500387,51.8974148825318,68.3729510925744,16.4755362100426
2454,"U/N Reef (20-125)",2014,6.422131,"Reefmod",NA,NA,57.8805986938094,47.9975695485013,69.3051683133957,21.3075987648944
2455,"U/N Reef (20-126)",2014,7.122514,"Reefmod",NA,NA,54.3610843679156,42.4353380515406,64.0856733561337,21.6503353045931
2456,"Bugatti Reef (20-127)",2014,7.357266,"Reefmod",NA,NA,59.1806310256532,49.3482387574669,68.3637038431905,19.0154650857236
2457,"Callum Shoal (20-1271)",2014,16.31691,"Reefmod",NA,NA,56.436258199887,44.7162970549483,63.8000422998632,19.0837452449148
2458,"Defiance Reefs (South) (20-204b)",2014,10.56563,"Reefmod",NA,NA,46.9729047526059,37.7829028983569,58.8596077361559,21.076704837799
2459,"U/N Reef (20-205)",2014,13.91602,"Reefmod",NA,NA,53.4742833655721,46.1193767416804,60.6039020133844,14.484525271704
2460,"Ripple Rocks Reef (20-206)",2014,7.115331,"Reefmod",NA,NA,47.3012036547509,38.9653598159662,54.0217146241248,15.0563548081587
2461,"Blacksmith Reef (20-245)",2014,14.03722,"Reefmod",NA,NA,56.2579945753444,43.124992366782,71.4885751164267,28.3635827496447
2462,"Hammer Reef (20-246)",2014,14.31151,"Reefmod",NA,NA,62.4168742752019,56.7605122684489,67.5921995665778,10.8316872981289
